,name,pn_bar,tfluid_k,height_m,in_service,type
104,Junction_2238_supply,10.0,359.3562478951201,0.0,True,junction
105,Junction_2238_return,8.0,308.15,0.0,True,junction
106,Junction_2251_supply,10.0,359.3562478951201,0.0,True,junction
107,Junction_2251_return,8.0,308.15,0.0,True,junction
108,Junction_2340_supply,10.0,359.3562478951201,0.0,True,junction
109,Junction_2340_return,8.0,308.15,0.0,True,junction
110,Junction_2359_supply,10.0,359.3562478951201,0.0,True,junction
111,Junction_2359_return,8.0,308.15,0.0,True,junction
112,Junction_2360_supply,10.0,359.3562478951201,0.0,True,junction
113,Junction_2360_return,8.0,308.15,0.0,True,junction
114,Junction_2961_supply,10.0,359.3562478951201,0.0,True,junction
115,Junction_2961_return,8.0,308.15,0.0,True,junction
116,Junction_2964_supply,10.0,359.3562478951201,0.0,True,junction
117,Junction_2964_return,8.0,308.15,0.0,True,junction
118,Junction_3165_supply,10.0,359.3562478951201,0.0,True,junction
119,Junction_3165_return,8.0,308.15,0.0,True,junction
120,Junction_3224_supply,10.0,359.3562478951201,0.0,True,junction
121,Junction_3224_return,8.0,308.15,0.0,True,junction
122,Junction_3306_supply,10.0,359.3562478951201,0.0,True,junction
123,Junction_3306_return,8.0,308.15,0.0,True,junction
124,Junction_3421_supply,10.0,359.3562478951201,0.0,True,junction
125,Junction_3421_return,8.0,308.15,0.0,True,junction
126,Junction_3489_supply,10.0,359.3562478951201,0.0,True,junction
127,Junction_3489_return,8.0,308.15,0.0,True,junction
128,Junction_3534_supply,10.0,359.3562478951201,0.0,True,junction
129,Junction_3534_return,8.0,308.15,0.0,True,junction
130,Junction_3552_supply,10.0,359.3562478951201,0.0,True,junction
131,Junction_3552_return,8.0,308.15,0.0,True,junction
132,Junction_3565_supply,10.0,359.3562478951201,0.0,True,junction
133,Junction_3565_return,8.0,308.15,0.0,True,junction
134,Junction_3673_supply,10.0,359.3562478951201,0.0,True,junction
135,Junction_3673_return,8.0,308.15,0.0,True,junction
136,Junction_3911_supply,10.0,359.3562478951201,0.0,True,junction
137,Junction_3911_return,8.0,308.15,0.0,True,junction
138,Junction_3968_supply,10.0,359.3562478951201,0.0,True,junction
139,Junction_3968_return,8.0,308.15,0.0,True,junction
140,Junction_4076_supply,10.0,359.3562478951201,0.0,True,junction
141,Junction_4076_return,8.0,308.15,0.0,True,junction
142,Junction_4122_supply,10.0,359.3562478951201,0.0,True,junction
143,Junction_4122_return,8.0,308.15,0.0,True,junction
144,Junction_4364_supply,10.0,359.3562478951201,0.0,True,junction
145,Junction_4364_return,8.0,308.15,0.0,True,junction
146,Junction_4719_supply,10.0,359.3562478951201,0.0,True,junction
147,Junction_4719_return,8.0,308.15,0.0,True,junction
148,Junction_4720_supply,10.0,359.3562478951201,0.0,True,junction
149,Junction_4720_return,8.0,308.15,0.0,True,junction
150,Junction_4721_supply,10.0,359.3562478951201,0.0,True,junction
151,Junction_4721_return,8.0,308.15,0.0,True,junction
152,Junction_5284_supply,10.0,359.3562478951201,0.0,True,junction
153,Junction_5284_return,8.0,308.15,0.0,True,junction
154,Junction_5297_supply,10.0,359.3562478951201,0.0,True,junction
155,Junction_5297_return,8.0,308.15,0.0,True,junction
156,Junction_6013_supply,10.0,359.3562478951201,0.0,True,junction
157,Junction_6013_return,8.0,308.15,0.0,True,junction
158,Junction_6217_supply,10.0,359.3562478951201,0.0,True,junction
159,Junction_6217_return,8.0,308.15,0.0,True,junction
160,Junction_6487_supply,10.0,359.3562478951201,0.0,True,junction
161,Junction_6487_return,8.0,308.15,0.0,True,junction
162,Junction_6592_supply,10.0,359.3562478951201,0.0,True,junction
163,Junction_6592_return,8.0,308.15,0.0,True,junction
164,Junction_6630_supply,10.0,359.3562478951201,0.0,True,junction
165,Junction_6630_return,8.0,308.15,0.0,True,junction
166,Junction_6643_supply,10.0,359.3562478951201,0.0,True,junction
167,Junction_6643_return,8.0,308.15,0.0,True,junction
168,Junction_6710_supply,10.0,359.3562478951201,0.0,True,junction
169,Junction_6710_return,8.0,308.15,0.0,True,junction
170,Junction_6737_supply,10.0,359.3562478951201,0.0,True,junction
171,Junction_6737_return,8.0,308.15,0.0,True,junction
172,Junction_6834_supply,10.0,359.3562478951201,0.0,True,junction
173,Junction_6834_return,8.0,308.15,0.0,True,junction
174,Junction_6835_supply,10.0,359.3562478951201,0.0,True,junction
175,Junction_6835_return,8.0,308.15,0.0,True,junction
176,Junction_7028_supply,10.0,359.3562478951201,0.0,True,junction
177,Junction_7028_return,8.0,308.15,0.0,True,junction
178,Junction_7055_supply,10.0,359.3562478951201,0.0,True,junction
179,Junction_7055_return,8.0,308.15,0.0,True,junction
180,Junction_7161_supply,10.0,359.3562478951201,0.0,True,junction
181,Junction_7161_return,8.0,308.15,0.0,True,junction
182,Junction_7222_supply,10.0,359.3562478951201,0.0,True,junction
183,Junction_7222_return,8.0,308.15,0.0,True,junction
184,Junction_7285_supply,10.0,359.3562478951201,0.0,True,junction
185,Junction_7285_return,8.0,308.15,0.0,True,junction
186,Junction_7434_supply,10.0,359.3562478951201,0.0,True,junction
187,Junction_7434_return,8.0,308.15,0.0,True,junction
188,Junction_7442_supply,10.0,359.3562478951201,0.0,True,junction
189,Junction_7442_return,8.0,308.15,0.0,True,junction
190,Junction_7443_supply,10.0,359.3562478951201,0.0,True,junction
191,Junction_7443_return,8.0,308.15,0.0,True,junction
192,Junction_7518_supply,10.0,359.3562478951201,0.0,True,junction
193,Junction_7518_return,8.0,308.15,0.0,True,junction
194,Junction_7612_supply,10.0,359.3562478951201,0.0,True,junction
195,Junction_7612_return,8.0,308.15,0.0,True,junction
196,Junction_7613_supply,10.0,359.3562478951201,0.0,True,junction
197,Junction_7613_return,8.0,308.15,0.0,True,junction
198,Junction_7795_supply,10.0,359.3562478951201,0.0,True,junction
199,Junction_7795_return,8.0,308.15,0.0,True,junction
200,Junction_7879_supply,10.0,359.3562478951201,0.0,True,junction
201,Junction_7879_return,8.0,308.15,0.0,True,junction
202,Junction_7883_supply,10.0,359.3562478951201,0.0,True,junction
203,Junction_7883_return,8.0,308.15,0.0,True,junction
204,Junction_8112_supply,10.0,359.3562478951201,0.0,True,junction
205,Junction_8112_return,8.0,308.15,0.0,True,junction
206,Junction_8165_supply,10.0,359.3562478951201,0.0,True,junction
207,Junction_8165_return,8.0,308.15,0.0,True,junction
208,Junction_9041_supply,10.0,359.3562478951201,0.0,True,junction
209,Junction_9041_return,8.0,308.15,0.0,True,junction
210,Junction_9062_supply,10.0,359.3562478951201,0.0,True,junction
211,Junction_9062_return,8.0,308.15,0.0,True,junction
212,Junction_9115_supply,10.0,359.3562478951201,0.0,True,junction
213,Junction_9115_return,8.0,308.15,0.0,True,junction
214,Junction_9137_supply,10.0,359.3562478951201,0.0,True,junction
215,Junction_9137_return,8.0,308.15,0.0,True,junction
216,Junction_9252_supply,10.0,359.3562478951201,0.0,True,junction
217,Junction_9252_return,8.0,308.15,0.0,True,junction
218,Junction_9492_supply,10.0,359.3562478951201,0.0,True,junction
219,Junction_9492_return,8.0,308.15,0.0,True,junction
220,Junction_9548_supply,10.0,359.3562478951201,0.0,True,junction
221,Junction_9548_return,8.0,308.15,0.0,True,junction
222,Junction_9551_supply,10.0,359.3562478951201,0.0,True,junction
223,Junction_9551_return,8.0,308.15,0.0,True,junction
224,Junction_9556_supply,10.0,359.3562478951201,0.0,True,junction
225,Junction_9556_return,8.0,308.15,0.0,True,junction
226,Junction_9802_supply,10.0,359.3562478951201,0.0,True,junction
227,Junction_9802_return,8.0,308.15,0.0,True,junction
228,Junction_9808_supply,10.0,359.3562478951201,0.0,True,junction
229,Junction_9808_return,8.0,308.15,0.0,True,junction
230,Junction_9809_supply,10.0,359.3562478951201,0.0,True,junction
231,Junction_9809_return,8.0,308.15,0.0,True,junction
232,Junction_9915_supply,10.0,359.3562478951201,0.0,True,junction
233,Junction_9915_return,8.0,308.15,0.0,True,junction
234,Junction_9917_supply,10.0,359.3562478951201,0.0,True,junction
235,Junction_9917_return,8.0,308.15,0.0,True,junction
236,Junction_9944_supply,10.0,359.3562478951201,0.0,True,junction
237,Junction_9944_return,8.0,308.15,0.0,True,junction
238,Junction_9981_supply,10.0,359.3562478951201,0.0,True,junction
239,Junction_9981_return,8.0,308.15,0.0,True,junction
240,Junction_9986_supply,10.0,359.3562478951201,0.0,True,junction
241,Junction_9986_return,8.0,308.15,0.0,True,junction
242,Junction_10018_supply,10.0,359.3562478951201,0.0,True,junction
243,Junction_10018_return,8.0,308.15,0.0,True,junction
244,Junction_10094_supply,10.0,359.3562478951201,0.0,True,junction
245,Junction_10094_return,8.0,308.15,0.0,True,junction
246,Junction_10097_supply,10.0,359.3562478951201,0.0,True,junction
247,Junction_10097_return,8.0,308.15,0.0,True,junction
248,Junction_10100_supply,10.0,359.3562478951201,0.0,True,junction
249,Junction_10100_return,8.0,308.15,0.0,True,junction
250,Junction_10202_supply,10.0,359.3562478951201,0.0,True,junction
251,Junction_10202_return,8.0,308.15,0.0,True,junction
252,Junction_10260_supply,10.0,359.3562478951201,0.0,True,junction
253,Junction_10260_return,8.0,308.15,0.0,True,junction
254,Junction_10392_supply,10.0,359.3562478951201,0.0,True,junction
255,Junction_10392_return,8.0,308.15,0.0,True,junction
256,Junction_10519_supply,10.0,359.3562478951201,0.0,True,junction
257,Junction_10519_return,8.0,308.15,0.0,True,junction
258,Junction_10823_supply,10.0,359.3562478951201,0.0,True,junction
259,Junction_10823_return,8.0,308.15,0.0,True,junction
260,Junction_11218_supply,10.0,359.3562478951201,0.0,True,junction
261,Junction_11218_return,8.0,308.15,0.0,True,junction
262,Junction_11647_supply,10.0,359.3562478951201,0.0,True,junction
263,Junction_11647_return,8.0,308.15,0.0,True,junction
264,Junction_12748_supply,10.0,359.3562478951201,0.0,True,junction
265,Junction_12748_return,8.0,308.15,0.0,True,junction
266,Junction_13700_supply,10.0,359.3562478951201,0.0,True,junction
267,Junction_13700_return,8.0,308.15,0.0,True,junction
268,Junction_13715_supply,10.0,359.3562478951201,0.0,True,junction
269,Junction_13715_return,8.0,308.15,0.0,True,junction
270,Junction_13742_supply,10.0,359.3562478951201,0.0,True,junction
271,Junction_13742_return,8.0,308.15,0.0,True,junction
272,Junction_13761_supply,10.0,359.3562478951201,0.0,True,junction
273,Junction_13761_return,8.0,308.15,0.0,True,junction
274,Junction_14261_supply,10.0,359.3562478951201,0.0,True,junction
275,Junction_14261_return,8.0,308.15,0.0,True,junction
276,Junction_14279_supply,10.0,359.3562478951201,0.0,True,junction
277,Junction_14279_return,8.0,308.15,0.0,True,junction
